#                                       Agent1                                       Agent2                                       Agent3                                       Agent4
#      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc      PrimalRes        DualRes        envFunc
       0.230984        0.10581           0.15         0.1936      0.0817862           0.15         0.1936      0.0817862           0.15       0.155198      0.0676059           0.15
       0.164426       0.127503           0.15        0.12659       0.228839           0.15        0.12659       0.228839           0.15      0.0859051       0.292021           0.15
      0.0911405       0.116197           0.15      0.0840404       0.127061           0.15      0.0840404       0.127061           0.15       0.079375       0.133883           0.15
       0.913569        1.20265        1.20265       0.885028        1.16424        1.16424       0.885028        1.16424        1.16424       0.504101        1.16944        1.16944
        0.71516       0.145006       0.714707       0.875784       0.175513       0.697518       0.875784       0.175513       0.697518       0.640957       0.139063       0.699851
        1.28079        2.29932       0.424733       0.766706        1.69711       0.417895       0.766706        1.69711       0.417895       0.658192        1.28167       0.418826
       0.281682       0.559386       0.252408       0.483512       0.274612       0.250368       0.483512       0.274612       0.250368       0.553348       0.176358       0.250647
       0.298919       0.386091           0.15       0.404068       0.201885           0.15       0.404068       0.201885           0.15       0.463678       0.126081           0.15
        0.39953       0.190359           0.15       0.369703       0.183606           0.15       0.369703       0.183606           0.15       0.364366       0.181888           0.15
       0.263665       0.490353           0.15       0.321879       0.130059           0.15       0.321879       0.130059           0.15       0.361808      0.0395353           0.15
       0.257845       0.417679           0.15       0.245783       0.251475           0.15       0.245783       0.251475           0.15       0.243703       0.197171           0.15
       0.203527       0.206112           0.15       0.196124       0.127755           0.15       0.196124       0.127755           0.15       0.192213      0.0967626           0.15
       0.162432      0.0979003           0.15       0.155493      0.0728997           0.15       0.155493      0.0728997           0.15        0.14769      0.0597034           0.15
       0.121545       0.164027           0.15       0.107322       0.219074           0.15       0.107322       0.219074           0.15      0.0906532       0.245924           0.15
      0.0939583       0.112281           0.15      0.0933369       0.124765           0.15      0.0933369       0.124765           0.15      0.0955232        0.12489           0.15
       0.857946        1.23431        1.23431       0.879198         1.1845         1.1845       0.879198         1.1845         1.1845       0.592844        1.16091        1.16091
       0.186482       0.549266       0.430286       0.214967       0.694085       0.421515       0.214967       0.694085       0.421515       0.157989       0.510963       0.417297
        1.28337        3.09833           0.15       0.687149        1.99546           0.15       0.687149        1.99546           0.15       0.559947        1.32482           0.15
       0.278436        0.63909           0.15       0.414889       0.299269           0.15       0.414889       0.299269           0.15       0.453897       0.172942           0.15
       0.312646        0.35895           0.15       0.345897       0.182831           0.15       0.345897       0.182831           0.15       0.360781       0.122194           0.15
       0.310488       0.332831           0.15        0.29355       0.184128           0.15        0.29355       0.184128           0.15       0.290197       0.142003           0.15
       0.260197       0.463128           0.15       0.241623       0.185726           0.15       0.241623       0.185726           0.15       0.240194        0.10883           0.15
       0.182558       0.220311           0.15        0.18913       0.115295           0.15        0.18913       0.115295           0.15       0.195486      0.0746227           0.15
       0.189577       0.132236           0.15       0.180587       0.115111           0.15       0.180587       0.115111           0.15       0.177421       0.101641           0.15
       0.137736      0.0950833           0.15       0.142151       0.075843           0.15       0.142151       0.075843           0.15       0.142463      0.0631584           0.15
       0.839682        1.14898        1.14898       0.881784        1.11134        1.11134       0.881784        1.11134        1.11134       0.613356         1.1608         1.1608
       0.694407        0.15903       0.415146       0.860573        0.18086       0.408291       0.860573        0.18086       0.408291       0.628016       0.133067       0.417276
        1.21671        1.61331           0.15        0.75055        1.44332           0.15        0.75055        1.44332           0.15       0.654873        1.26423           0.15
       0.270331        0.59281           0.15        0.47906       0.271596           0.15        0.47906       0.271596           0.15       0.553227       0.159279           0.15
       0.330639       0.311969           0.15       0.429035        0.17946           0.15       0.429035        0.17946           0.15       0.464097       0.142656           0.15
       0.444536      0.0983482           0.15       0.400617       0.131565           0.15       0.400617       0.131565           0.15       0.385903        0.14222           0.15
       0.552183       0.431355           0.15       0.370948        0.24865           0.15       0.370948        0.24865           0.15       0.303575        0.17981           0.15
       0.446112       0.208733           0.15       0.325818       0.110885           0.15       0.325818       0.110885           0.15       0.271272      0.0710522           0.15
        0.23891        0.27061           0.15       0.198525       0.275193           0.15       0.198525       0.275193           0.15       0.171941       0.271076           0.15
       0.144699       0.218901           0.15       0.123938       0.173074           0.15       0.123938       0.173074           0.15       0.102724       0.142133           0.15
       0.155193       0.116967           0.15       0.132351      0.0948074           0.15       0.132351      0.0948074           0.15       0.105951      0.0781745           0.15
       0.122485      0.0876741           0.15       0.110887      0.0621931           0.15       0.110887      0.0621931           0.15      0.0971668      0.0352676           0.15
       0.890447        1.19763        1.19763       0.875201        1.17006        1.17006       0.875201        1.17006        1.17006       0.542159        1.16716        1.16716
        0.16517       0.591795       0.972973       0.219871       0.699556       0.952789       0.219871       0.699556       0.952789       0.149051       0.512754       0.950665
       0.254278       0.304765       0.790456       0.174099       0.372322       0.775863       0.174099       0.372322       0.775863       0.121469       0.373253       0.774325
       0.323769       0.131867       0.642176        0.23155       0.148419       0.631791        0.23155       0.148419       0.631791       0.172513       0.120416       0.630695
       0.141083      0.0602418       0.521712      0.0891214      0.0662427       0.514472      0.0891214      0.0662427       0.514472       0.192763      0.0396409       0.513707
